symbol_or_cusip,purchase_date,quantity
AAPL,2024-09-24,2
ABBV,2025-06-27,8
ACN,2024-09-24,1
ACN,2025-04-02,2
ADI,2025-06-27,4
AMP,2025-06-27,1
APH,2025-06-27,7
AVB,2025-06-27,5
BK,2025-04-02,14
BRO,2025-06-27,12
BSX,2025-04-02,8
BSX,2025-06-27,3
CHD,2025-06-27,17
CMCSA,2025-01-16,7
CNP,2025-06-27,36
CRM,2025-02-13,1
CSCO,2025-04-02,8
CSX,2025-06-27,33
DOV,2025-06-27,7
DOW,2025-06-27,58
ED,2025-06-27,16
ETR,2025-06-27,18
FTV,2025-06-27,21
GIS,2025-06-27,30
GOOG,2024-09-24,7
GOOG,2025-04-02,4
GOOGL,2024-09-24,8
GOOGL,2025-04-02,4
GOOGL,2025-06-27,1
HD,2025-04-02,1
HOLX,2025-06-27,23
IQV,2025-06-27,12
IR,2025-06-27,16
L,2025-06-27,14
MA,2025-04-02,1
MCO,2025-04-02,2
PM,2025-04-02,3
PM,2025-06-27,1
RAL,2025-06-27,7
RTX,2025-06-27,1
TXN,2025-04-02,3
V,2025-02-13,2
WMT,2025-01-16,1
WMT,2025-04-02,4
WMT,2025-06-27,1
XOM,2024-09-24,4
XOM,2025-04-02,2
