symbol_or_cusip,quantity,transaction_type,order_type,security_type,notional_share_price
ABT,3,BUY,MARKET,EQUITY,125.8499984741211
ADBE,1,BUY,MARKET,EQUITY,370.989990234375
ADP,2,BUY,MARKET,EQUITY,308.4200134277344
AMAT,1,BUY,MARKET,EQUITY,189.4499969482422
AMD,3,BUY,MARKET,EQUITY,173.25999450683594
AMGN,1,BUY,MARKET,EQUITY,303.239990234375
AMT,2,BUY,MARKET,EQUITY,226.86500549316406
AMZN,1,BUY,MARKET,EQUITY,233.18499755859375
ANET,2,BUY,MARKET,EQUITY,115.62999725341797
AXP,2,BUY,MARKET,EQUITY,312.92999267578125
BA,2,BUY,MARKET,EQUITY,234.52999877929688
BAC,19,BUY,MARKET,EQUITY,48.46500015258789
BMY,7,BUY,MARKET,EQUITY,47.841400146484375
BRK.B,1,BUY,MARKET,EQUITY,485.1600036621094
BX,2,BUY,MARKET,EQUITY,177.5500030517578
C,6,BUY,MARKET,EQUITY,95.7300033569336
CAT,2,BUY,MARKET,EQUITY,432.8299865722656
CDNS,1,BUY,MARKET,EQUITY,332.5299987792969
CEG,1,BUY,MARKET,EQUITY,324.6499938964844
CME,1,BUY,MARKET,EQUITY,278.5799865722656
COF,3,BUY,MARKET,EQUITY,213.69000244140625
COP,7,BUY,MARKET,EQUITY,96.63999938964844
CVS,5,BUY,MARKET,EQUITY,60.66999816894531
CVX,6,BUY,MARKET,EQUITY,155.27999877929688
DASH,1,BUY,MARKET,EQUITY,249.10000610351562
DE,1,BUY,MARKET,EQUITY,513.6749877929688
DHR,2,BUY,MARKET,EQUITY,203.61000061035156
DIS,4,BUY,MARKET,EQUITY,120.8499984741211
ETN,2,BUY,MARKET,EQUITY,395.04998779296875
GE,3,BUY,MARKET,EQUITY,272.7099914550781
GEV,1,BUY,MARKET,EQUITY,641.760009765625
GILD,2,BUY,MARKET,EQUITY,114.08000183105469
HON,3,BUY,MARKET,EQUITY,226.6199951171875
HOOD,2,BUY,MARKET,EQUITY,105.83499908447266
IBM,2,BUY,MARKET,EQUITY,260.6400146484375
ICE,2,BUY,MARKET,EQUITY,183.97500610351562
INTC,12,BUY,MARKET,EQUITY,20.98579978942871
INTU,1,BUY,MARKET,EQUITY,789.8400268554688
ISRG,1,BUY,MARKET,EQUITY,499.7749938964844
JNJ,4,BUY,MARKET,EQUITY,166.47000122070312
KKR,3,BUY,MARKET,EQUITY,152.0500030517578
KO,11,BUY,MARKET,EQUITY,68.75
LIN,3,BUY,MARKET,EQUITY,468.3500061035156
LOW,3,BUY,MARKET,EQUITY,225.72000122070312
LRCX,2,BUY,MARKET,EQUITY,99.17500305175781
MCD,2,BUY,MARKET,EQUITY,295.4800109863281
MDT,4,BUY,MARKET,EQUITY,92.51000213623047
META,1,BUY,MARKET,EQUITY,723.1500244140625
MO,8,BUY,MARKET,EQUITY,59.494998931884766
MRK,5,BUY,MARKET,EQUITY,84.22000122070312
MS,4,BUY,MARKET,EQUITY,142.5500030517578
MSTR,1,BUY,MARKET,EQUITY,414.42498779296875
MU,2,BUY,MARKET,EQUITY,110.83000183105469
NEE,7,BUY,MARKET,EQUITY,71.19999694824219
NKE,4,BUY,MARKET,EQUITY,77.66079711914062
NVDA,2,BUY,MARKET,EQUITY,175.24000549316406
ORCL,3,BUY,MARKET,EQUITY,244.21499633789062
ORLY,4,BUY,MARKET,EQUITY,98.19999694824219
PANW,1,BUY,MARKET,EQUITY,204.1649932861328
PEP,6,BUY,MARKET,EQUITY,142.08999633789062
PFE,19,BUY,MARKET,EQUITY,24.364999771118164
PG,6,BUY,MARKET,EQUITY,156.55999755859375
PGR,2,BUY,MARKET,EQUITY,245.82000732421875
PLD,6,BUY,MARKET,EQUITY,109.48999786376953
PLTR,4,BUY,MARKET,EQUITY,159.19000244140625
QCOM,2,BUY,MARKET,EQUITY,160.1719970703125
RBLX,1,BUY,MARKET,EQUITY,119.38999938964844
RCL,1,BUY,MARKET,EQUITY,352.4549865722656
SBUX,4,BUY,MARKET,EQUITY,94.37999725341797
SCHW,4,BUY,MARKET,EQUITY,97.5999984741211
SNOW,1,BUY,MARKET,EQUITY,221.05999755859375
SNPS,1,BUY,MARKET,EQUITY,602.094970703125
SPGI,1,BUY,MARKET,EQUITY,533.5900268554688
SYK,1,BUY,MARKET,EQUITY,401.8900146484375
T,14,BUY,MARKET,EQUITY,27.729999542236328
TJX,5,BUY,MARKET,EQUITY,126.42500305175781
TMO,1,BUY,MARKET,EQUITY,475.05999755859375
TT,2,BUY,MARKET,EQUITY,472.5199890136719
UBER,5,BUY,MARKET,EQUITY,91.58000183105469
UNH,2,BUY,MARKET,EQUITY,283.5400085449219
UNP,3,BUY,MARKET,EQUITY,225.6199951171875
VST,2,BUY,MARKET,EQUITY,190.96820068359375
VZ,11,BUY,MARKET,EQUITY,42.4900016784668
WFC,9,BUY,MARKET,EQUITY,84.09500122070312
AAPL,2,SELL,MARKET,EQUITY,213.8350067138672
ABBV,8,SELL,MARKET,EQUITY,188.6999969482422
ACN,3,SELL,MARKET,EQUITY,278.7900085449219
ADI,4,SELL,MARKET,EQUITY,228.9949951171875
AMP,1,SELL,MARKET,EQUITY,522.3800048828125
APH,7,SELL,MARKET,EQUITY,105.69000244140625
AVB,5,SELL,MARKET,EQUITY,200.7100067138672
BK,14,SELL,MARKET,EQUITY,100.47000122070312
BRO,12,SELL,MARKET,EQUITY,103.41999816894531
BSX,11,SELL,MARKET,EQUITY,106.9000015258789
CHD,17,SELL,MARKET,EQUITY,96.73999786376953
CMCSA,7,SELL,MARKET,EQUITY,33.439998626708984
CNP,36,SELL,MARKET,EQUITY,37.790000915527344
CRM,1,SELL,MARKET,EQUITY,268.2749938964844
CSCO,8,SELL,MARKET,EQUITY,67.72000122070312
CSX,33,SELL,MARKET,EQUITY,35.79999923706055
DOV,7,SELL,MARKET,EQUITY,185.94000244140625
DOW,58,SELL,MARKET,EQUITY,24.940000534057617
ED,16,SELL,MARKET,EQUITY,100.87000274658203
ETR,18,SELL,MARKET,EQUITY,87.4000015258789
FTV,21,SELL,MARKET,EQUITY,51.2400016784668
GIS,30,SELL,MARKET,EQUITY,50.119998931884766
GOOG,11,SELL,MARKET,EQUITY,193.49000549316406
GOOGL,13,SELL,MARKET,EQUITY,192.63999938964844
HD,1,SELL,MARKET,EQUITY,373.0899963378906
HOLX,23,SELL,MARKET,EQUITY,65.83999633789062
IQV,12,SELL,MARKET,EQUITY,197.4250030517578
IR,16,SELL,MARKET,EQUITY,87.83999633789062
L,14,SELL,MARKET,EQUITY,91.2699966430664
MA,1,SELL,MARKET,EQUITY,569.6649780273438
MCO,2,SELL,MARKET,EQUITY,511.989990234375
PM,4,SELL,MARKET,EQUITY,159.33999633789062
RAL,7,SELL,MARKET,EQUITY,47.68000030517578
RTX,1,SELL,MARKET,EQUITY,155.8350067138672
TXN,3,SELL,MARKET,EQUITY,189.09500122070312
V,2,SELL,MARKET,EQUITY,357.54998779296875
WMT,6,SELL,MARKET,EQUITY,97.54019927978516
XOM,6,SELL,MARKET,EQUITY,111.37999725341797
